year,X1,X2,X3,X5,X6,X7,X8,X9,X10,X11,X12,X14,X15,X17,X18
2012,1033.7,1714.5,108.6,582.9,55,315.4,790.0029,2167.1,2136.9,622.2,136.6,389,542.4,1217.4,1921.9
2013,1116.9,1581.4,113.4,632.9,72.9,297.9,961.308,2035,2199.5,564.3,142.6,402.1,616.7,1198.8,1779
2014,954.1,1342.7,92.3,566.7,10.2,231.1,1046.3954,1594.3,1515,85,-8.6,412,603.9,669.9,1510.6
2015,873.1,1354.9,70.8,563.7,47.7,242.7,842.5112,1662.6,1442.1,136.1,66.1,329,637.2,576.3,1525.7
2016,888.5,1422.7,71,601.1,56.5,251.4,1200.3288,1767.6,1504.1,155.3,77.2,335.1,688,589.9,1619.4
2017,942.7,1413.2,40.5,547.9,15.6,203,1551.458,1748.3,1524.7,177.2,86,333.3,701.2,588.4,1621.8
