year,X1,X2,X3,X5,X6,X7,X8,X9,X10,X11,X12,X14,X15,X17,X18
2012,2993.807,2482.75,729.285,23.11,-424.479,1423.999,291.2712,6246.884,16292.713,20365.369,1135.774,1782.142,-10435.03,24287.904,4381.825
2013,2513.294,2528.319,730.828,26.872,-606.883,1454.346,572.1913,6243.044,15097.302,20030.479,1052.654,1759.592,-11084.702,23793.937,4459.562
2014,2180.143,2521.365,710.898,23.777,-793.761,1395.248,651.2321,6303.533,14040.242,20322.414,1112.831,1364.285,-11990.98,23705.45,4479.804
2015,2810.883,2459.345,673.991,24.833,-754.621,1442.038,80.631,6241.516,13821.098,20687.082,1119.861,1659.228,-12851.418,24427.779,4447.664
2016,2504.687,2401.387,635.227,22.068,-296.318,1364.404,100.6071,6273.573,12862.247,20022.08,1190.035,1696.57,-13089.205,23747.722,4448.311
2017,2067.347,2449.322,601.295,22.47,-393.891,1508.37,45.7695,6170.994,12260.431,5676.814,980.333,16354.597,-13440.403,23587.886,4589.366
